Timestamp,Track ID,Class,Center X,Center Y,Distance
2024-12-15 16:23:36,1,person,123.89541,582.7405,78.0371693790049
2024-12-15 16:23:36,2,person,315.56873,549.4277,126.14947653354531
2024-12-15 16:23:36,3,motorcycle,297.49777,563.5502,104.08844927962708
2024-12-15 16:23:36,4,motorcycle,242.33801,548.6075,66.58602137226326
2024-12-15 16:23:36,5,person,247.99081,537.3134,78.94761601352349
2024-12-15 16:23:36,6,car,306.9476,538.3707,123.43401498244923
2024-12-15 16:23:36,7,motorcycle,133.55806,585.45135,68.01613290931424
2024-12-15 16:23:36,8,motorcycle,358.4354,550.2318,166.06819829327648
2024-12-15 16:23:36,9,person,157.92062,511.41553,98.07080509764361
2024-12-15 16:23:36,10,motorcycle,341.34872,546.9169,150.98767928832802
2024-12-15 16:23:36,1,person,132.27876,585.1939,69.3208931741993
2024-12-15 16:23:36,2,person,321.96637,547.7707,132.67891811625537
2024-12-15 16:23:36,3,motorcycle,296.24298,566.22516,101.9973096305731
2024-12-15 16:23:36,4,motorcycle,243.14645,548.6075,67.10296280483821
2024-12-15 16:23:36,5,person,247.91573,538.3707,78.0646141627242
2024-12-15 16:23:36,6,car,309.3628,539.40454,125.02811793127776
2024-12-15 16:23:36,7,motorcycle,137.28154,585.706,64.3266960765513
2024-12-15 16:23:36,8,motorcycle,359.2957,551.7938,166.43001884238012
2024-12-15 16:23:36,9,person,154.99356,511.41553,99.36190951516582
2024-12-15 16:23:36,10,motorcycle,343.79724,548.6075,152.7050683200299
2024-12-15 16:23:37,1,person,136.62752,584.40393,65.26338239802814
2024-12-15 16:23:37,2,person,321.9752,550.2318,131.7376951084996
2024-12-15 16:23:37,3,motorcycle,295.38953,568.69775,100.39418889588431
2024-12-15 16:23:37,4,motorcycle,243.9817,547.7707,68.28097110927025
2024-12-15 16:23:37,5,person,249.92567,536.2319,80.98732780889242
2024-12-15 16:23:37,6,car,308.03998,542.37286,122.44804382880112
2024-12-15 16:23:37,7,motorcycle,139.85033,585.45135,61.88413561030303
2024-12-15 16:23:37,9,person,152.1842,513.1283,99.16170111867787
2024-12-15 16:23:37,10,motorcycle,346.9425,550.2318,155.14178243223196
2024-12-15 16:23:37,1,person,144.8679,583.5866,57.52344970205629
2024-12-15 16:23:37,2,person,325.90268,551.0204,135.09436083021748
2024-12-15 16:23:37,3,motorcycle,295.88177,570.54504,100.3040835643669
2024-12-15 16:23:37,4,motorcycle,246.07135,546.9169,70.28789152700841
2024-12-15 16:23:37,5,person,252.9148,530.4292,87.40750412489622
2024-12-15 16:23:37,6,car,310.34097,543.3203,124.04723615169748
2024-12-15 16:23:37,7,motorcycle,142.77174,585.45135,59.048592939417276
2024-12-15 16:23:37,9,person,149.29886,513.1283,100.5847842773697
2024-12-15 16:23:37,10,motorcycle,351.35196,553.297,158.3937686195388
2024-12-15 16:23:37,1,person,153.23213,581.56476,50.27018552516367
2024-12-15 16:23:37,2,person,330.29764,550.2318,139.47884304169574
2024-12-15 16:23:37,3,motorcycle,296.34595,572.28687,100.25247912302468
2024-12-15 16:23:37,4,motorcycle,248.27586,545.156,73.06451157410484
2024-12-15 16:23:37,5,person,253.40758,530.4292,87.70670339439569
2024-12-15 16:23:37,6,car,312.92084,543.3203,126.34754508274983
2024-12-15 16:23:37,7,motorcycle,149.51347,585.45135,52.54096011907638
